poll_id,numeric_grade,pollster,methodology,transparency_score,state,end_date,sample_size,cycle,office_type,seat_number,seat_name,election_date,stage,party,pct,candidate_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88273,,ActiVote,App Panel,8.0,Florida,9/22/24,400,2024,U.S. Senate,0,Class I,11/5/24,general,DEM,46.1,Debbie Mucarsel-Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88273,,ActiVote,App Panel,8.0,Florida,9/22/24,400,2024,U.S. Senate,0,Class I,11/5/24,general,REP,53.9,Rick Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88272,,ActiVote,App Panel,8.0,Ohio,9/22/24,400,2024,U.S. Senate,0,Class I,11/5/24,general,DEM,48.9,Sherrod Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88272,,ActiVote,App Panel,8.0,Ohio,9/22/24,400,2024,U.S. Senate,0,Class I,11/5/24,general,REP,51.1,Bernie Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88276,3.0,Siena/NYT,Live Phone,9.0,Arizona,9/21/24,713,2024,U.S. Senate,0,Class I,11/5/24,general,DEM,50.0,Ruben Gallego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88276,3.0,Siena/NYT,Live Phone,9.0,Arizona,9/21/24,713,2024,U.S. Senate,0,Class I,11/5/24,general,REP,41.0,Kari Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88276,3.0,Siena/NYT,Live Phone,9.0,Arizona,9/21/24,713,2024,U.S. Senate,0,Class I,11/5/24,general,DEM,49.0,Ruben Gallego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88276,3.0,Siena/NYT,Live Phone,9.0,Arizona,9/21/24,713,2024,U.S. Senate,0,Class I,11/5/24,general,REP,43.0,Kari Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88268,,ActiVote,App Panel,8.0,California,9/21/24,400,2024,U.S. Senate,0,Class I,11/5/24,general,DEM,62.7,Adam B. Schiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88268,,ActiVote,App Panel,8.0,California,9/21/24,400,2024,U.S. Senate,0,Class I,11/5/24,general,REP,37.3,Steve Garvey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88288,1.8,Redfield & Wilton Strategies,Online Panel,9.0,Arizona,9/19/24,789,2024,U.S. Senate,0,Class I,11/5/24,general,DEM,46.0,Ruben Gallego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88288,1.8,Redfield & Wilton Strategies,Online Panel,9.0,Arizona,9/19/24,789,2024,U.S. Senate,0,Class I,11/5/24,general,REP,41.0,Kari Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88288,1.8,Redfield & Wilton Strategies,Online Panel,9.0,Arizona,9/19/24,789,2024,U.S. Senate,0,Class I,11/5/24,general,W,1.0,Eduardo Quintana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88289,1.8,Redfield & Wilton Strategies,Online Panel,9.0,Florida,9/19/24,1602,2024,U.S. Senate,0,Class I,11/5/24,general,DEM,41.0,Debbie Mucarsel-Powell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88289,1.8,Redfield & Wilton Strategies,Online Panel,9.0,Florida,9/19/24,1602,2024,U.S. Senate,0,Class I,11/5/24,general,REP,45.0,Rick Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88289,1.8,Redfield & Wilton Strategies,Online Panel,9.0,Florida,9/19/24,1602,2024,U.S. Senate,0,Class I,11/5/24,general,LIB,1.0,Feena Bonoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88290,1.8,Redfield & Wilton Strategies,Online Panel,9.0,Michigan,9/19/24,993,2024,U.S. Senate,0,Class I,11/5/24,general,DEM,46.0,Elissa Slotkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88290,1.8,Redfield & Wilton Strategies,Online Panel,9.0,Michigan,9/19/24,993,2024,U.S. Senate,0,Class I,11/5/24,general,REP,37.0,Mike Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88290,1.8,Redfield & Wilton Strategies,Online Panel,9.0,Michigan,9/19/24,993,2024,U.S. Senate,0,Class I,11/5/24,general,GRE,2.0,Douglas P. Marsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88290,1.8,Redfield & Wilton Strategies,Online Panel,9.0,Michigan,9/19/24,993,2024,U.S. Senate,0,Class I,11/5/24,general,LIB,0.0,Joseph Solis-Mullen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88290,1.8,Redfield & Wilton Strategies,Online Panel,9.0,Michigan,9/19/24,993,2024,U.S. Senate,0,Class I,11/5/24,general,NLP,0.0,Doug Dern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88290,1.8,Redfield & Wilton Strategies,Online Panel,9.0,Michigan,9/19/24,993,2024,U.S. Senate,0,Class I,11/5/24,general,UST,0.0,Dave Stein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88291,1.8,Redfield & Wilton Strategies,Online Panel,9.0,Minnesota,9/19/24,703,2024,U.S. Senate,0,Class I,11/5/24,general,DEM,42.0,Amy Klobuchar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88291,1.8,Redfield & Wilton Strategies,Online Panel,9.0,Minnesota,9/19/24,703,2024,U.S. Senate,0,Class I,11/5/24,general,REP,34.0,Royce White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
